time,ssp_const
2000-01-01,31648.76
2010-01-01,36448.76
2015-01-01,39148.76
2020-01-01,40647.53
2030-01-01,43476.06
2040-01-01,44252.90	
2050-01-01,44252.90
2060-01-01,44252.90
2070-01-01,44252.90
2080-01-01,44252.90
2090-01-01,44252.90
2100-01-01,44252.90
