#    name       date    lev    value 
      pr  2015-01-01     -1      nan 
      pr  2016-01-01     -1 6.36835e-05 
      pr  2017-01-01     -1 6.585208e-05 
      pr  2018-01-01     -1 7.087132e-05 
      pr  2019-01-01     -1 6.472951e-05 
      pr  2020-01-01     -1 6.03384e-05 
      pr  2021-01-01     -1 6.848542e-05 
      pr  2022-01-01     -1 6.5371e-05 
      pr  2023-01-01     -1 6.091457e-05 
      pr  2024-01-01     -1 6.786571e-05 
      pr  2025-01-01     -1 6.448253e-05 
      pr  2026-01-01     -1 6.137847e-05 
      pr  2027-01-01     -1 6.122229e-05 
      pr  2028-01-01     -1 6.783329e-05 
      pr  2029-01-01     -1 5.828726e-05 
      pr  2030-01-01     -1 5.486357e-05 
      pr  2031-01-01     -1 6.430706e-05 
      pr  2032-01-01     -1 6.496663e-05 
      pr  2033-01-01     -1 5.773671e-05 
      pr  2034-01-01     -1 6.22118e-05 
      pr  2035-01-01     -1 6.826207e-05 
      pr  2036-01-01     -1 6.947019e-05 
      pr  2037-01-01     -1 6.055741e-05 
      pr  2038-01-01     -1 5.800365e-05 
      pr  2039-01-01     -1 6.943424e-05 
      pr  2040-01-01     -1 6.356027e-05 
      pr  2041-01-01     -1 6.472502e-05 
      pr  2042-01-01     -1 6.800077e-05 
      pr  2043-01-01     -1 5.884179e-05 
      pr  2044-01-01     -1 6.399756e-05 
      pr  2045-01-01     -1 6.26626e-05 
      pr  2046-01-01     -1 6.303599e-05 
      pr  2047-01-01     -1 6.222498e-05 
      pr  2048-01-01     -1 6.84522e-05 
      pr  2049-01-01     -1 6.090112e-05 
      pr  2050-01-01     -1 6.190001e-05 
      pr  2051-01-01     -1 6.591805e-05 
      pr  2052-01-01     -1 5.979407e-05 
      pr  2053-01-01     -1 6.427452e-05 
      pr  2054-01-01     -1 5.479038e-05 
      pr  2055-01-01     -1 5.739376e-05 
      pr  2056-01-01     -1 5.459847e-05 
      pr  2057-01-01     -1 6.026028e-05 
      pr  2058-01-01     -1 5.374895e-05 
      pr  2059-01-01     -1 5.667434e-05 
      pr  2060-01-01     -1 6.778e-05 
      pr  2061-01-01     -1 4.949245e-05 
      pr  2062-01-01     -1 5.190365e-05 
      pr  2063-01-01     -1 6.472934e-05 
      pr  2064-01-01     -1 5.388789e-05 
      pr  2065-01-01     -1 3.941976e-05 
      pr  2066-01-01     -1 6.52788e-05 
      pr  2067-01-01     -1 6.614564e-05 
      pr  2068-01-01     -1 4.44547e-05 
      pr  2069-01-01     -1 5.587462e-05 
      pr  2070-01-01     -1 6.351883e-05 
      pr  2071-01-01     -1 4.969991e-05 
      pr  2072-01-01     -1 5.027175e-05 
      pr  2073-01-01     -1 6.511178e-05 
      pr  2074-01-01     -1 6.440667e-05 
      pr  2075-01-01     -1 5.394454e-05 
      pr  2076-01-01     -1 6.032659e-05 
      pr  2077-01-01     -1 5.888334e-05 
      pr  2078-01-01     -1 5.597338e-05 
      pr  2079-01-01     -1 5.878324e-05 
      pr  2080-01-01     -1 6.257025e-05 
      pr  2081-01-01     -1 5.494254e-05 
      pr  2082-01-01     -1 5.137275e-05 
      pr  2083-01-01     -1 5.856472e-05 
      pr  2084-01-01     -1 5.140809e-05 
      pr  2085-01-01     -1 4.387668e-05 
      pr  2086-01-01     -1 5.809796e-05 
      pr  2087-01-01     -1 5.207731e-05 
      pr  2088-01-01     -1 4.15692e-05 
      pr  2089-01-01     -1 4.995592e-05 
      pr  2090-01-01     -1 5.768737e-05 
      pr  2091-01-01     -1 4.03764e-05 
      pr  2092-01-01     -1 5.026442e-05 
      pr  2093-01-01     -1 5.246379e-05 
      pr  2094-01-01     -1 4.595336e-05 
      pr  2095-01-01     -1 4.479094e-05 
      pr  2096-01-01     -1 5.936575e-05 
      pr  2097-01-01     -1 4.957163e-05 
      pr  2098-01-01     -1 1.10289e-05 
      pr  2099-01-01     -1        0 
      pr  2100-01-01     -1        0 
cdo    outputtab: Processed 86 values from 1 variable over 86 timesteps [0.11s 45MB].
