#    name       date    lev    value 
      pr  2015-01-01     -1      nan 
      pr  2016-01-01     -1 7.879783e-05 
      pr  2017-01-01     -1 8.407893e-05 
      pr  2018-01-01     -1 8.283572e-05 
      pr  2019-01-01     -1 8.129652e-05 
      pr  2020-01-01     -1 8.522284e-05 
      pr  2021-01-01     -1 8.251519e-05 
      pr  2022-01-01     -1 8.145491e-05 
      pr  2023-01-01     -1 8.307488e-05 
      pr  2024-01-01     -1 8.281703e-05 
      pr  2025-01-01     -1 8.054445e-05 
      pr  2026-01-01     -1 8.19413e-05 
      pr  2027-01-01     -1 8.281e-05 
      pr  2028-01-01     -1 8.550923e-05 
      pr  2029-01-01     -1 8.373535e-05 
      pr  2030-01-01     -1 8.622658e-05 
      pr  2031-01-01     -1 8.235319e-05 
      pr  2032-01-01     -1 8.138604e-05 
      pr  2033-01-01     -1 8.180073e-05 
      pr  2034-01-01     -1 8.097236e-05 
      pr  2035-01-01     -1 8.034435e-05 
      pr  2036-01-01     -1 8.604158e-05 
      pr  2037-01-01     -1 8.039684e-05 
      pr  2038-01-01     -1 8.102568e-05 
      pr  2039-01-01     -1 8.401432e-05 
      pr  2040-01-01     -1 7.943282e-05 
      pr  2041-01-01     -1 8.258202e-05 
      pr  2042-01-01     -1 8.317312e-05 
      pr  2043-01-01     -1 7.948877e-05 
      pr  2044-01-01     -1 8.187739e-05 
      pr  2045-01-01     -1 8.528436e-05 
      pr  2046-01-01     -1 8.319031e-05 
      pr  2047-01-01     -1 7.80838e-05 
      pr  2048-01-01     -1 8.300332e-05 
      pr  2049-01-01     -1 8.149241e-05 
      pr  2050-01-01     -1 8.487146e-05 
      pr  2051-01-01     -1 8.15676e-05 
      pr  2052-01-01     -1 7.971835e-05 
      pr  2053-01-01     -1 8.288938e-05 
      pr  2054-01-01     -1 8.470701e-05 
      pr  2055-01-01     -1 8.437965e-05 
      pr  2056-01-01     -1 8.769766e-05 
      pr  2057-01-01     -1 8.687582e-05 
      pr  2058-01-01     -1 8.444391e-05 
      pr  2059-01-01     -1 8.578695e-05 
      pr  2060-01-01     -1 8.706457e-05 
      pr  2061-01-01     -1 8.420351e-05 
      pr  2062-01-01     -1 8.626048e-05 
      pr  2063-01-01     -1 8.763261e-05 
      pr  2064-01-01     -1 8.438659e-05 
      pr  2065-01-01     -1 8.20539e-05 
      pr  2066-01-01     -1 9.069337e-05 
      pr  2067-01-01     -1 8.656731e-05 
      pr  2068-01-01     -1 8.394699e-05 
      pr  2069-01-01     -1 8.958582e-05 
      pr  2070-01-01     -1 8.458854e-05 
      pr  2071-01-01     -1 8.090873e-05 
      pr  2072-01-01     -1 8.532322e-05 
      pr  2073-01-01     -1 8.854514e-05 
      pr  2074-01-01     -1 8.552078e-05 
      pr  2075-01-01     -1 8.364383e-05 
      pr  2076-01-01     -1 8.774632e-05 
      pr  2077-01-01     -1 8.373791e-05 
      pr  2078-01-01     -1 8.380727e-05 
      pr  2079-01-01     -1 8.409025e-05 
      pr  2080-01-01     -1 8.432645e-05 
      pr  2081-01-01     -1 8.450924e-05 
      pr  2082-01-01     -1 8.558189e-05 
      pr  2083-01-01     -1 9.008426e-05 
      pr  2084-01-01     -1 8.859796e-05 
      pr  2085-01-01     -1 9.036223e-05 
      pr  2086-01-01     -1 9.558631e-05 
      pr  2087-01-01     -1 8.782271e-05 
      pr  2088-01-01     -1 8.866752e-05 
      pr  2089-01-01     -1 9.495728e-05 
      pr  2090-01-01     -1 9.020805e-05 
      pr  2091-01-01     -1 8.700334e-05 
      pr  2092-01-01     -1 9.221782e-05 
      pr  2093-01-01     -1 9.25923e-05 
      pr  2094-01-01     -1 8.895732e-05 
      pr  2095-01-01     -1 8.974083e-05 
      pr  2096-01-01     -1 9.140882e-05 
      pr  2097-01-01     -1 8.893327e-05 
      pr  2098-01-01     -1 4.652014e-05 
      pr  2099-01-01     -1        0 
      pr  2100-01-01     -1        0 
cdo    outputtab: Processed 86 values from 1 variable over 86 timesteps [0.11s 45MB].
